Codi d'expedient,Codi districte,Nom districte,Codi barri,Nom barri,Codi carrer,Nom carrer,Num postal caption,Descripciﾌ_ dia setmana,Dia setmana,Descripciﾌ_ tipus dia,NK Any,Mes de any,Nom mes,Dia de mes,Hora de dia,Descripciﾌ_ causa vianant,tipus de vehicle,Descripciﾌ_ model,Descripciﾌ_ marca,Descripciﾌ_ color,Descripciﾌ_ carnet,Antiguitat carnet,Coordenada UTM (X),Coordenada UTM (Y), Longitud, Latitut
2016S004079    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,89004,Consell de Cent,0268 0268,Divendres,Dv,Laboral,2016,5,Maig,27,18,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"430005,08","4582365,58",2.161683,41.387926
2016S004185    ,2,Eixample,10,Sant Antoni,349706,Comte d'Urgell,0018 0018,Dimarts,Dm,Laboral,2016,5,Maig,31,15,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,DAHON,Gris,Desconegut,Desconegut,"430010,14","4581470,46",2.161846,41.379865
2016S004491    ,2,Eixample,7,la Dreta de l'Eixample,74506,Catalunya,0081 0081,Dijous,Dj,Laboral,2016,6,Juny,9,11,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"430022,17","4582823,19",2.161833,41.392052
2016S005735    ,2,Eixample,10,Sant Antoni,169409,Corts Catalanes,0576 0576,Dijous,Dj,Laboral,2016,7,Juliol,21,11,No ﾌｩs causa del  vianant,Bicicleta,Orca,ORBEA,Vermell,Desconegut,Desconegut,"430022,35","4581966,35",2.161932,41.384333
2016S006162    ,2,Eixample,10,Sant Antoni,169409,Corts Catalanes,0576 0576,Diumenge,Dg,Laboral,2016,8,Agost,7,15,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Blanc,Desconegut,Desconegut,"430022,35","4581966,35",2.161932,41.384333
2016S005668    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,169409,Corts Catalanes,0571 0571,Dimarts,Dm,Laboral,2016,7,Juliol,19,10,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Blau,Desconegut,Desconegut,"430025,87","4582041,55",2.16196,41.385009
2016S009828    ,2,Eixample,7,la Dreta de l'Eixample,247659,Pau Claris,0183 0183,Dimarts,Dm,Laboral,2016,12,Desembre,20,21,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,ORBEA,Blanc,Desconegut,Desconegut,"430039,17","4583313,83",2.16198,41.396467
2016S001097    ,2,Eixample,7,la Dreta de l'Eixample,148307,Grﾌﾊcia,0075 0075,Dijous,Dj,Laboral,2016,2,Febrer,11,11,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,BTWIN,Negre,Desconegut,Desconegut,"430055,88","4583030,02",2.162204,41.393919
2016S007163    ,2,Eixample,7,la Dreta de l'Eixample,247659,Pau Claris,0190 0190,Dimarts,Dm,Laboral,2016,9,Setembre,20,15,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut,"430056,22","4583327,48",2.162182,41.396594
2016S003044    ,2,Eixample,10,Sant Antoni,349706,Comte d'Urgell,0012 0012,Dijous,Dj,Laboral,2016,4,Abril,21,20,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"430061,27","4581417,56",2.162462,41.379392
2016S007062    ,2,Eixample,7,la Dreta de l'Eixample,191204,Mallorca,0252 0254,Divendres,Dv,Laboral,2016,9,Setembre,16,15,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"430067,18","4582988,31",2.162352,41.393542
2016S003769    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,100800,Diputaciﾌ_,0225 0225,Dimarts,Dm,Laboral,2016,5,Maig,17,8,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut,"430074,14","4582275,63",2.162518,41.387121
2016S003769    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,100800,Diputaciﾌ_,0225 0225,Dimarts,Dm,Laboral,2016,5,Maig,17,8,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Blau,Desconegut,Desconegut,"430074,14","4582275,63",2.162518,41.387121
2016S003344    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,169409,Corts Catalanes,0583 0583,Dilluns,Dl,Laboral,2016,5,Maig,2,17,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Verd,Desconegut,Desconegut,"430081,36","4582095,53",2.162623,41.3855
2016S001154    ,2,Eixample,8,l'Antiga Esquerra de l'Eixample,89004,Consell de Cent,0305 0309,Dissabte,Ds,Laboral,2016,2,Febrer,13,22,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"430087,11","4582476,28",2.162651,41.388932
2016S002954    ,2,Eixample,10,Sant Antoni,246000,Parlament,0037 0037,Dilluns,Dl,Laboral,2016,4,Abril,18,20,Desobeir el senyal del semﾌﾊfor,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"430088,66","4581128,56",2.162818,41.376792
2016S007566    ,2,Eixample,7,la Dreta de l'Eixample,268003,Provenﾌ､a,0302 0302,Dimecres,Dc,Laboral,2016,10,Octubre,5,9,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Gris,Desconegut,Desconegut,"430093,53","4583202,02",2.162639,41.395472
2016S002853    ,2,Eixample,10,Sant Antoni,169409,Corts Catalanes,0586 0586,Divendres,Dv,Laboral,2016,4,Abril,15,11,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Blau,Desconegut,Desconegut,"430103,28","4582045,97",2.162892,41.385052
2016S002853    ,2,Eixample,10,Sant Antoni,169409,Corts Catalanes,0586 0586,Divendres,Dv,Laboral,2016,4,Abril,15,11,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"430103,28","4582045,97",2.162892,41.385052
2016S007946    ,2,Eixample,7,la Dreta de l'Eixample,268003,Provenﾌ､a,0306 0306,Dimecres,Dc,Laboral,2016,10,Octubre,19,10,No ﾌｩs causa del  vianant,Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut,"430110,06","4583218,32",2.16284,41.395617
