Codi d'expedient,Codi districte,Nom districte,Codi barri,Nom barri,Codi carrer,Nom carrer,Num postal caption,Descripció dia setmana,Dia setmana,Descripció tipus dia,NK Any,Mes de any,Nom mes,Dia de mes,Hora de dia,Descripció causa vianant,tipus de vehicle,Descripció model,Descripció marca,Descripció color,Descripció carnet,Antiguitat carnet,Coordenada UTM (Y),Coordenada UTM (X)
2015S002064,6,Gràcia,28,Vallcarca i els Penitents,58907,Canaan,0005 0005,Dimecres,Dc,Laboral,2015,3,Març,18,18,No és causa del  vianant,Bicicleta,ROCKRIDER,DECATHLON,Blau,Desconegut,Desconegut,"4585982,92","428180,32"
2015S001141,6,Gràcia,31,la Vila de Gràcia,273207,Rabassa,0060B0060B,Divendres,Dv,Laboral,2015,2,Febrer,13,18,No és causa del  vianant,Bicicleta,Desconegut,BTWIN,Negre,Desconegut,Desconegut,"4584746,55","429586,34"
2015S004572,6,Gràcia,30,la Salut,214809,Molist,0030 0030,Dissabte,Ds,Laboral,2015,6,Juny,13,17,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"4585220,02","429540,95"
2015S006648,6,Gràcia,31,la Vila de Gràcia,338506,Tordera,0017B0017B,Dijous,Dj,Laboral,2015,9,Setembre,3,21,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"4583819,22","429933,49"
2015S002495,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,344101,Gràcia,0214 0214,Dijous,Dj,Laboral,2015,4,Abril,2,18,No és causa del  vianant,Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut,"4584128,35","430044,55"
2015S004207,7,Horta-Guinardó,39,Sant Genís dels Agudells,148409,Sant Cugat,0289 0289,Diumenge,Dg,Laboral,2015,5,Maig,31,20,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Blanc,Desconegut,Desconegut,"4587368,28","427734,97"
2015S007455,7,Horta-Guinardó,41,la Vall d'Hebron,700651,Estatut de Catalunya,0059 0059,Dilluns,Dl,Laboral,2015,10,Octubre,5,11,No és causa del  vianant,Bicicleta,Desconegut,BTWIN,Blau,Desconegut,Desconegut,"4587543,44","429295,35"
2015S006556,8,Nou Barris,46,el Turó de la Peira,103003,Doctor Pi i Molist,0013 0013,Dilluns,Dl,Laboral,2015,8,Agost,31,20,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"4587157,08","431099,98"
2015S008105,9,Sant Andreu,61,la Sagrera,125403,Filipines,0002 0004,Dimecres,Dc,Laboral,2015,10,Octubre,28,16,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Platejat,Desconegut,Desconegut,"4586358,25","432214,39"
2015S008109,9,Sant Andreu,62,el Congrés i els Indians,204907,Matanzas,0058 0058,Dimecres,Dc,Laboral,2015,10,Octubre,28,18,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,"4586293,85","431765,94"
2015S006337,9,Sant Andreu,63,Navas,241608,Palència,0001 0001,Divendres,Dv,Laboral,2015,8,Agost,21,14,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Blau,Desconegut,Desconegut,"4585461,35","432181,46"
2015S006502,9,Sant Andreu,63,Navas,367300,Biscaia,0374 0374,Dissabte,Ds,Laboral,2015,8,Agost,29,11,No és causa del  vianant,Bicicleta,Desconegut,BICING,Blanc,Desconegut,Desconegut,"4585513,40","432220,71"
2015S005540,10,Sant Martí,64,el Camp de l'Arpa del Clot,95506,Conca,0032 0034,Divendres,Dv,Laboral,2015,7,Juliol,17,20,No és causa del  vianant,Bicicleta,Desconegut,DAHON,Negre,Desconegut,Desconegut,"4585260,16","431530,84"
2015S000381,10,Sant Martí,64,el Camp de l'Arpa del Clot,191204,Mallorca,0603 0605,Divendres,Dv,Laboral,2015,1,Gener,16,17,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Gris,Desconegut,Desconegut,"4584993,52","432085,46"
2015S003643,10,Sant Martí,65,el Clot,146902,Glòries Catalanes,0017X0017X,Dimecres,Dc,Laboral,2015,5,Maig,13,8,No és causa del  vianant,Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut,"4584155,03","432069,63"
2015S001042,10,Sant Martí,71,Provençals del Poblenou,701414,C-31,20730000,Dimarts,Dm,Laboral,2015,2,Febrer,10,19,No és causa del  vianant,Bicicleta,Desconegut,DECATHLON,Platejat,Desconegut,Desconegut,"4585110,24","433224,20"
2015S002126,10,Sant Martí,71,Provençals del Poblenou,253902,Perú,0140 0142,Divendres,Dv,Laboral,2015,3,Març,20,19,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Vermell,Desconegut,Desconegut,"4584861,28","433173,63"
2015S005708,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,30409,Bac de Roda,0090X0090X,Divendres,Dv,Laboral,2015,7,Juliol,24,13,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"4584463,90","433629,00"
2015S009758,10,Sant Martí,68,el Poblenou,249304,Pere IV,0254 0260,Dimarts,Dm,Laboral,2015,12,Desembre,22,13,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"4584296,16","433242,21"
2015S001813,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,322608,Selva de Mar,0001 0001,Dilluns,Dl,Laboral,2015,3,Març,9,17,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Verd,Desconegut,Desconegut,"4584159,42","434440,08"
2015S003399,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,700892,Garcia Fària,0037X0037X,Dimarts,Dm,Laboral,2015,5,Maig,5,11,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,"4583918,06","434226,64"
2015S005073,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,701265,Litoral (Besòs),640000,Dijous,Dj,Laboral,2015,7,Juliol,2,1,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Altres,Desconegut,Desconegut,"4584035,27","434457,99"
2015S003006,1,Ciutat Vella,1,el Raval,39800,Ramon Berenguer el Vell,0008 0008,Dimarts,Dm,Laboral,2015,4,Abril,21,22,Creuar per fora pas de vianants,Bicicleta,Desconegut,BTWIN,Negre,Desconegut,Desconegut,"4580949,35","430979,61"
2015S004197,1,Ciutat Vella,1,el Raval,198804,Paral·lel,0038 0038,Dissabte,Ds,Laboral,2015,5,Maig,30,23,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Blanc,Desconegut,Desconegut,"4580919,86","430903,90"
2015S001670,1,Ciutat Vella,1,el Raval,284804,Robador,0001 0001,Dimarts,Dm,Laboral,2015,3,Març,3,13,No és causa del  vianant,Bicicleta,Desconegut,Desconegut,Platejat,Desconegut,Desconegut,"4581509,29","430713,70"
2015S008005,1,Ciutat Vella,1,el Raval,275450,Raquel Meller,9999 9999,Dissabte,Ds,Laboral,2015,10,Octubre,24,1,No és causa del  vianant,Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut,"4580940,48","430685,26"
2015S009117,1,Ciutat Vella,1,el Raval,308301,Sant Oleguer,0020 0022,Dimarts,Dm,Laboral,2015,12,Desembre,1,9,No és causa del  vianant,Bicicleta,Desconegut,BICING,Blau,Desconegut,Desconegut,"4581140,44","430830,71"
2015S001731,1,Ciutat Vella,1,el Raval,67307,Carme,0004 0008,Divendres,Dv,Laboral,2015,3,Març,6,8,No és causa del  vianant,Bicicleta,Desconegut,BICING,Vermell,Desconegut,Desconegut,"4581787,06","430790,59"
